SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-06-30 11:40:00.217807,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-54
1,DC:A6:32:33:AA:47,2020-06-30 11:40:02.223259,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-54
2,DC:A6:32:33:AA:47,2020-06-30 11:40:04.228582,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-56
3,DC:A6:32:33:AA:47,2020-06-30 11:40:06.234088,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-57
4,DC:A6:32:33:AA:47,2020-06-30 11:40:08.239532,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-56
5,DC:A6:32:33:AA:47,2020-06-30 11:40:10.244999,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-57
6,DC:A6:32:33:AA:47,2020-06-30 11:40:12.250489,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-51
7,DC:A6:32:33:AA:47,2020-06-30 11:40:14.256041,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-63
8,DC:A6:32:33:AA:47,2020-06-30 11:40:16.261374,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-63
9,DC:A6:32:33:AA:47,2020-06-30 11:40:18.266905,17d1c3be-bb01-11ea-8c04-dca63233aa46,1,1,1,-63
