SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-06-26 23:31:01.692391,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-72
1,DC:A6:32:33:AA:47,2020-06-26 23:31:02.226491,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-66
2,DC:A6:32:33:AA:47,2020-06-26 23:31:04.144509,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-58
3,DC:A6:32:33:AA:47,2020-06-26 23:31:05.370616,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-71
4,DC:A6:32:33:AA:47,2020-06-26 23:31:06.076979,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-71
5,DC:A6:32:33:AA:47,2020-06-26 23:31:07.164397,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-58
6,DC:A6:32:33:AA:47,2020-06-26 23:31:08.815636,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-67
7,DC:A6:32:33:AA:47,2020-06-26 23:31:09.151842,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-67
8,DC:A6:32:33:AA:47,2020-06-26 23:31:10.430692,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-57
9,DC:A6:32:33:AA:47,2020-06-26 23:31:11.564488,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-64
10,DC:A6:32:33:AA:47,2020-06-26 23:31:13.569535,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-55
11,DC:A6:32:33:AA:47,2020-06-26 23:31:14.013218,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-55
12,DC:A6:32:33:AA:47,2020-06-26 23:31:16.017063,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-67
13,DC:A6:32:33:AA:47,2020-06-26 23:31:17.066709,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-67
14,DC:A6:32:33:AA:47,2020-06-26 23:31:18.475920,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-57
15,DC:A6:32:33:AA:47,2020-06-26 23:31:20.480956,b4d0a79e-b83f-11ea-a889-dca63233aa46,1,1,1,-67
