SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-06-30 12:08:56.017624,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-69
1,DC:A6:32:33:AA:47,2020-06-30 12:08:58.022982,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-54
2,DC:A6:32:33:AA:47,2020-06-30 12:09:00.027618,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-57
3,DC:A6:32:33:AA:47,2020-06-30 12:09:02.032418,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-59
4,DC:A6:32:33:AA:47,2020-06-30 12:09:03.025869,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-56
5,DC:A6:32:33:AA:47,2020-06-30 12:09:05.030503,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-77
6,DC:A6:32:33:AA:47,2020-06-30 12:09:06.195287,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-55
7,DC:A6:32:33:AA:47,2020-06-30 12:09:07.023898,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-56
8,DC:A6:32:33:AA:47,2020-06-30 12:09:09.028667,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-60
9,DC:A6:32:33:AA:47,2020-06-30 12:09:11.033290,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-59
10,DC:A6:32:33:AA:47,2020-06-30 12:09:13.037363,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-72
11,DC:A6:32:33:AA:47,2020-06-30 12:09:15.042719,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-60
12,DC:A6:32:33:AA:47,2020-06-30 12:09:17.047382,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-71
13,DC:A6:32:33:AA:47,2020-06-30 12:09:18.289682,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-72
14,DC:A6:32:33:AA:47,2020-06-30 12:09:19.113326,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-71
15,DC:A6:32:33:AA:47,2020-06-30 12:09:20.469952,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-56
16,DC:A6:32:33:AA:47,2020-06-30 12:09:21.559236,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-72
17,DC:A6:32:33:AA:47,2020-06-30 12:09:22.379067,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-60
18,DC:A6:32:33:AA:47,2020-06-30 12:09:24.383766,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-60
19,DC:A6:32:33:AA:47,2020-06-30 12:09:25.021123,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-60
20,DC:A6:32:33:AA:47,2020-06-30 12:09:26.504691,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-72
21,DC:A6:32:33:AA:47,2020-06-30 12:09:27.610755,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-55
22,DC:A6:32:33:AA:47,2020-06-30 12:09:28.010838,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-71
23,DC:A6:32:33:AA:47,2020-06-30 12:09:30.015525,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-56
24,DC:A6:32:33:AA:47,2020-06-30 12:09:31.172744,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-62
25,DC:A6:32:33:AA:47,2020-06-30 12:09:33.177514,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-54
26,DC:A6:32:33:AA:47,2020-06-30 12:09:35.182203,23c44fb2-bb05-11ea-98d4-dca63233aa46,1,1,4,-59
