SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-06-26 23:50:12.528191,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-62
1,DC:A6:32:33:AA:47,2020-06-26 23:50:13.057379,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
2,DC:A6:32:33:AA:47,2020-06-26 23:50:14.188984,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-61
3,DC:A6:32:33:AA:47,2020-06-26 23:50:16.194004,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-60
4,DC:A6:32:33:AA:47,2020-06-26 23:50:17.120262,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
5,DC:A6:32:33:AA:47,2020-06-26 23:50:18.382063,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
6,DC:A6:32:33:AA:47,2020-06-26 23:50:20.019012,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-62
7,DC:A6:32:33:AA:47,2020-06-26 23:50:22.024067,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-62
8,DC:A6:32:33:AA:47,2020-06-26 23:50:23.396587,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
9,DC:A6:32:33:AA:47,2020-06-26 23:50:24.095266,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
10,DC:A6:32:33:AA:47,2020-06-26 23:50:26.100412,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-64
11,DC:A6:32:33:AA:47,2020-06-26 23:50:28.105414,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
12,DC:A6:32:33:AA:47,2020-06-26 23:50:29.780428,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-65
13,DC:A6:32:33:AA:47,2020-06-26 23:50:30.100270,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
14,DC:A6:32:33:AA:47,2020-06-26 23:50:31.864118,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-70
15,DC:A6:32:33:AA:47,2020-06-26 23:50:32.037765,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
