SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-06-26 23:43:22.499553,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
1,DC:A6:32:33:AA:47,2020-06-26 23:43:24.504065,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-68
2,DC:A6:32:33:AA:47,2020-06-26 23:43:26.509060,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-62
3,DC:A6:32:33:AA:47,2020-06-26 23:43:27.365247,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
4,DC:A6:32:33:AA:47,2020-06-26 23:43:29.370313,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-56
5,DC:A6:32:33:AA:47,2020-06-26 23:43:30.018923,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-55
6,DC:A6:32:33:AA:47,2020-06-26 23:43:32.023915,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-54
7,DC:A6:32:33:AA:47,2020-06-26 23:43:34.029028,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-56
8,DC:A6:32:33:AA:47,2020-06-26 23:43:35.063925,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-56
9,DC:A6:32:33:AA:47,2020-06-26 23:43:37.068908,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-53
10,DC:A6:32:33:AA:47,2020-06-26 23:43:38.863914,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
11,DC:A6:32:33:AA:47,2020-06-26 23:43:39.047659,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-55
12,DC:A6:32:33:AA:47,2020-06-26 23:43:40.022690,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-46
13,DC:A6:32:33:AA:47,2020-06-26 23:43:41.117647,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-64
14,DC:A6:32:33:AA:47,2020-06-26 23:43:42.217650,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-61
