SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-06-26 23:46:45.668810,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-70
1,DC:A6:32:33:AA:47,2020-06-26 23:46:46.142314,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-67
2,DC:A6:32:33:AA:47,2020-06-26 23:46:48.147030,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-68
3,DC:A6:32:33:AA:47,2020-06-26 23:46:50.156268,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-66
4,DC:A6:32:33:AA:47,2020-06-26 23:46:51.018319,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-68
5,DC:A6:32:33:AA:47,2020-06-26 23:46:52.305738,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-62
6,DC:A6:32:33:AA:47,2020-06-26 23:46:53.129479,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-65
7,DC:A6:32:33:AA:47,2020-06-26 23:46:55.134607,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-65
8,DC:A6:32:33:AA:47,2020-06-26 23:46:57.138319,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-67
9,DC:A6:32:33:AA:47,2020-06-26 23:46:58.418890,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-65
10,DC:A6:32:33:AA:47,2020-06-26 23:46:59.182723,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-69
11,DC:A6:32:33:AA:47,2020-06-26 23:47:00.003372,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-67
12,DC:A6:32:33:AA:47,2020-06-26 23:47:01.363487,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-67
13,DC:A6:32:33:AA:47,2020-06-26 23:47:02.756545,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-68
14,DC:A6:32:33:AA:47,2020-06-26 23:47:03.043481,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-65
15,DC:A6:32:33:AA:47,2020-06-26 23:47:04.168359,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-68
