SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-06-26 23:48:46.078638,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-53
1,DC:A6:32:33:AA:47,2020-06-26 23:48:48.082523,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-57
2,DC:A6:32:33:AA:47,2020-06-26 23:48:50.088091,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-59
3,DC:A6:32:33:AA:47,2020-06-26 23:48:52.093134,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-60
4,DC:A6:32:33:AA:47,2020-06-26 23:48:53.067409,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-59
5,DC:A6:32:33:AA:47,2020-06-26 23:48:55.071816,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-60
6,DC:A6:32:33:AA:47,2020-06-26 23:48:57.076880,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-59
7,DC:A6:32:33:AA:47,2020-06-26 23:48:58.379332,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-65
8,DC:A6:32:33:AA:47,2020-06-26 23:48:59.040035,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-62
9,DC:A6:32:33:AA:47,2020-06-26 23:49:00.146859,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-63
10,DC:A6:32:33:AA:47,2020-06-26 23:49:01.219511,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-59
11,DC:A6:32:33:AA:47,2020-06-26 23:49:03.224549,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-56
12,DC:A6:32:33:AA:47,2020-06-26 23:49:05.213198,5f94bd86-b841-11ea-8bbd-dca63233aa46,1,1,1,-56
