SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power(mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 20:46:46,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,0.1674088674
1,DC:A6:32:33:AA:47,2020-07-09 20:46:46,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
2,DC:A6:32:33:AA:47,2020-07-09 20:46:47,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
3,DC:A6:32:33:AA:47,2020-07-09 20:46:48,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
4,DC:A6:32:33:AA:47,2020-07-09 20:46:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
5,DC:A6:32:33:AA:47,2020-07-09 20:46:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
6,DC:A6:32:33:AA:47,2020-07-09 20:46:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
7,DC:A6:32:33:AA:47,2020-07-09 20:46:52,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
8,DC:A6:32:33:AA:47,2020-07-09 20:46:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
9,DC:A6:32:33:AA:47,2020-07-09 20:46:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
10,DC:A6:32:33:AA:47,2020-07-09 20:46:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
11,DC:A6:32:33:AA:47,2020-07-09 20:46:56,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
12,DC:A6:32:33:AA:47,2020-07-09 20:46:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
13,DC:A6:32:33:AA:47,2020-07-09 20:46:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
14,DC:A6:32:33:AA:47,2020-07-09 20:47:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
15,DC:A6:32:33:AA:47,2020-07-09 20:47:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
16,DC:A6:32:33:AA:47,2020-07-09 20:47:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
17,DC:A6:32:33:AA:47,2020-07-09 20:47:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
18,DC:A6:32:33:AA:47,2020-07-09 20:47:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
19,DC:A6:32:33:AA:47,2020-07-09 20:47:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
20,DC:A6:32:33:AA:47,2020-07-09 20:47:08,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
21,DC:A6:32:33:AA:47,2020-07-09 20:47:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
22,DC:A6:32:33:AA:47,2020-07-09 20:47:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
23,DC:A6:32:33:AA:47,2020-07-09 20:47:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
24,DC:A6:32:33:AA:47,2020-07-09 20:47:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
25,DC:A6:32:33:AA:47,2020-07-09 20:47:14,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
26,DC:A6:32:33:AA:47,2020-07-09 20:47:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
27,DC:A6:32:33:AA:47,2020-07-09 20:47:16,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
28,DC:A6:32:33:AA:47,2020-07-09 20:47:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
29,DC:A6:32:33:AA:47,2020-07-09 20:47:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
30,DC:A6:32:33:AA:47,2020-07-09 20:47:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
31,DC:A6:32:33:AA:47,2020-07-09 20:47:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
32,DC:A6:32:33:AA:47,2020-07-09 20:47:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
33,DC:A6:32:33:AA:47,2020-07-09 20:47:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
34,DC:A6:32:33:AA:47,2020-07-09 20:47:24,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
35,DC:A6:32:33:AA:47,2020-07-09 20:47:25,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
36,DC:A6:32:33:AA:47,2020-07-09 20:47:26,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
37,DC:A6:32:33:AA:47,2020-07-09 20:47:28,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
38,DC:A6:32:33:AA:47,2020-07-09 20:47:29,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
39,DC:A6:32:33:AA:47,2020-07-09 20:47:30,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
40,DC:A6:32:33:AA:47,2020-07-09 20:47:31,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
41,DC:A6:32:33:AA:47,2020-07-09 20:47:32,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
42,DC:A6:32:33:AA:47,2020-07-09 20:47:34,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
43,DC:A6:32:33:AA:47,2020-07-09 20:47:34,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
44,DC:A6:32:33:AA:47,2020-07-09 20:47:35,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
45,DC:A6:32:33:AA:47,2020-07-09 20:47:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
46,DC:A6:32:33:AA:47,2020-07-09 20:47:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
47,DC:A6:32:33:AA:47,2020-07-09 20:47:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
48,DC:A6:32:33:AA:47,2020-07-09 20:47:39,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
49,DC:A6:32:33:AA:47,2020-07-09 20:47:40,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
50,DC:A6:32:33:AA:47,2020-07-09 20:47:42,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
51,DC:A6:32:33:AA:47,2020-07-09 20:47:43,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
52,DC:A6:32:33:AA:47,2020-07-09 20:47:44,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
53,DC:A6:32:33:AA:47,2020-07-09 20:47:46,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
54,DC:A6:32:33:AA:47,2020-07-09 20:47:47,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
55,DC:A6:32:33:AA:47,2020-07-09 20:47:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
56,DC:A6:32:33:AA:47,2020-07-09 20:47:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-32,0.0006309573445,
57,DC:A6:32:33:AA:47,2020-07-09 20:47:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
58,DC:A6:32:33:AA:47,2020-07-09 20:47:52,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-31,0.0007943282347,
59,DC:A6:32:33:AA:47,2020-07-09 20:47:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
60,DC:A6:32:33:AA:47,2020-07-09 20:47:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
61,DC:A6:32:33:AA:47,2020-07-09 20:47:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
62,DC:A6:32:33:AA:47,2020-07-09 20:47:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
63,DC:A6:32:33:AA:47,2020-07-09 20:47:58,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-35,0.000316227766,
64,DC:A6:32:33:AA:47,2020-07-09 20:48:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
65,DC:A6:32:33:AA:47,2020-07-09 20:48:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-37,0.0001995262315,
66,DC:A6:32:33:AA:47,2020-07-09 20:48:01,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
67,DC:A6:32:33:AA:47,2020-07-09 20:48:02,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
68,DC:A6:32:33:AA:47,2020-07-09 20:48:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
69,DC:A6:32:33:AA:47,2020-07-09 20:48:04,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
70,DC:A6:32:33:AA:47,2020-07-09 20:48:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
