SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 21:29:39,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,0.1527409636
1,DC:A6:32:33:AA:47,2020-07-09 21:29:41,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
2,DC:A6:32:33:AA:47,2020-07-09 21:29:43,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
3,DC:A6:32:33:AA:47,2020-07-09 21:29:44,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-37,0.0001995262315,
4,DC:A6:32:33:AA:47,2020-07-09 21:29:46,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
5,DC:A6:32:33:AA:47,2020-07-09 21:29:48,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
6,DC:A6:32:33:AA:47,2020-07-09 21:29:50,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
7,DC:A6:32:33:AA:47,2020-07-09 21:29:50,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
8,DC:A6:32:33:AA:47,2020-07-09 21:29:52,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
9,DC:A6:32:33:AA:47,2020-07-09 21:29:54,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
10,DC:A6:32:33:AA:47,2020-07-09 21:29:55,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
11,DC:A6:32:33:AA:47,2020-07-09 21:29:56,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-32,0.0006309573445,
12,DC:A6:32:33:AA:47,2020-07-09 21:29:58,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-39,0.0001258925412,
13,DC:A6:32:33:AA:47,2020-07-09 21:29:59,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
14,DC:A6:32:33:AA:47,2020-07-09 21:30:01,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
15,DC:A6:32:33:AA:47,2020-07-09 21:30:01,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
16,DC:A6:32:33:AA:47,2020-07-09 21:30:03,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-33,0.0005011872336,
17,DC:A6:32:33:AA:47,2020-07-09 21:30:04,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-31,0.0007943282347,
18,DC:A6:32:33:AA:47,2020-07-09 21:30:05,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
19,DC:A6:32:33:AA:47,2020-07-09 21:30:06,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-30,0.001,
20,DC:A6:32:33:AA:47,2020-07-09 21:30:07,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-38,0.0001584893192,
21,DC:A6:32:33:AA:47,2020-07-09 21:30:09,d4b0cb18-c265-11ea-b704-dca63233aa46,1,1,1,-35,0.000316227766,
