SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Sum
0,DC:A6:32:33:AA:47,2020-07-09 17:36:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,0.0961282532
1,DC:A6:32:33:AA:47,2020-07-09 17:36:37,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
2,DC:A6:32:33:AA:47,2020-07-09 17:36:39,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-40,0.0001,
3,DC:A6:32:33:AA:47,2020-07-09 17:36:39,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
4,DC:A6:32:33:AA:47,2020-07-09 17:36:40,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
5,DC:A6:32:33:AA:47,2020-07-09 17:36:42,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
6,DC:A6:32:33:AA:47,2020-07-09 17:36:43,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-34,0.0003981071706,
7,DC:A6:32:33:AA:47,2020-07-09 17:36:45,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
8,DC:A6:32:33:AA:47,2020-07-09 17:36:46,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
9,DC:A6:32:33:AA:47,2020-07-09 17:36:47,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
10,DC:A6:32:33:AA:47,2020-07-09 17:36:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-33,0.0005011872336,
11,DC:A6:32:33:AA:47,2020-07-09 17:36:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
12,DC:A6:32:33:AA:47,2020-07-09 17:36:50,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
13,DC:A6:32:33:AA:47,2020-07-09 17:36:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-38,0.0001584893192,
14,DC:A6:32:33:AA:47,2020-07-09 17:36:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
15,DC:A6:32:33:AA:47,2020-07-09 17:36:54,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
16,DC:A6:32:33:AA:47,2020-07-09 17:36:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-39,0.0001258925412,
