SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-09 16:36:19.721754,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-46
1,DC:A6:32:33:AA:47,2020-07-09 16:36:20.020872,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45
2,DC:A6:32:33:AA:47,2020-07-09 16:36:21.060068,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
3,DC:A6:32:33:AA:47,2020-07-09 16:36:22.149918,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54
4,DC:A6:32:33:AA:47,2020-07-09 16:36:24.154973,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
5,DC:A6:32:33:AA:47,2020-07-09 16:36:25.038647,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43
6,DC:A6:32:33:AA:47,2020-07-09 16:36:26.555596,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
7,DC:A6:32:33:AA:47,2020-07-09 16:36:27.384997,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
8,DC:A6:32:33:AA:47,2020-07-09 16:36:28.483058,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
9,DC:A6:32:33:AA:47,2020-07-09 16:36:29.658700,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
10,DC:A6:32:33:AA:47,2020-07-09 16:36:31.663782,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
11,DC:A6:32:33:AA:47,2020-07-09 16:36:33.450031,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
12,DC:A6:32:33:AA:47,2020-07-09 16:36:35.349357,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
13,DC:A6:32:33:AA:47,2020-07-09 16:36:37.355009,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
14,DC:A6:32:33:AA:47,2020-07-09 16:36:38.389996,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45
15,DC:A6:32:33:AA:47,2020-07-09 16:36:40.395091,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
16,DC:A6:32:33:AA:47,2020-07-09 16:36:41.044384,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
17,DC:A6:32:33:AA:47,2020-07-09 16:36:43.048829,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
18,DC:A6:32:33:AA:47,2020-07-09 16:36:45.053804,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
19,DC:A6:32:33:AA:47,2020-07-09 16:36:47.058918,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41
20,DC:A6:32:33:AA:47,2020-07-09 16:36:49.063833,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42
21,DC:A6:32:33:AA:47,2020-07-09 16:36:51.069045,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54
22,DC:A6:32:33:AA:47,2020-07-09 16:36:53.073975,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41
23,DC:A6:32:33:AA:47,2020-07-09 16:36:55.079027,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44
24,DC:A6:32:33:AA:47,2020-07-09 16:36:56.535160,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-43
25,DC:A6:32:33:AA:47,2020-07-09 16:36:57.062629,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53
