SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW ),Sum
0,DC:A6:32:33:AA:47,2020-07-09 16:15:34,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,0.01597167678
1,DC:A6:32:33:AA:47,2020-07-09 16:15:36,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
2,DC:A6:32:33:AA:47,2020-07-09 16:15:38,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
3,DC:A6:32:33:AA:47,2020-07-09 16:15:40,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
4,DC:A6:32:33:AA:47,2020-07-09 16:15:41,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
5,DC:A6:32:33:AA:47,2020-07-09 16:15:42,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
6,DC:A6:32:33:AA:47,2020-07-09 16:15:44,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
7,DC:A6:32:33:AA:47,2020-07-09 16:15:45,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
8,DC:A6:32:33:AA:47,2020-07-09 16:15:47,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
9,DC:A6:32:33:AA:47,2020-07-09 16:15:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
10,DC:A6:32:33:AA:47,2020-07-09 16:15:49,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
11,DC:A6:32:33:AA:47,2020-07-09 16:15:51,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
12,DC:A6:32:33:AA:47,2020-07-09 16:15:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
13,DC:A6:32:33:AA:47,2020-07-09 16:15:53,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
14,DC:A6:32:33:AA:47,2020-07-09 16:15:55,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-54,0.000003981071706,
15,DC:A6:32:33:AA:47,2020-07-09 16:15:57,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
16,DC:A6:32:33:AA:47,2020-07-09 16:15:59,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-41,0.00007943282347,
17,DC:A6:32:33:AA:47,2020-07-09 16:16:00,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
18,DC:A6:32:33:AA:47,2020-07-09 16:16:01,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-51,0.000007943282347,
19,DC:A6:32:33:AA:47,2020-07-09 16:16:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
