SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-23 10:55:31.446794,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
1,DC:A6:32:33:AA:47,2020-07-23 10:55:32.853364,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-47
2,DC:A6:32:33:AA:47,2020-07-23 10:55:33.679453,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-46
3,DC:A6:32:33:AA:47,2020-07-23 10:55:34.503167,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-58
4,DC:A6:32:33:AA:47,2020-07-23 10:55:35.120844,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
5,DC:A6:32:33:AA:47,2020-07-23 10:55:37.125678,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
6,DC:A6:32:33:AA:47,2020-07-23 10:55:39.130723,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
7,DC:A6:32:33:AA:47,2020-07-23 10:55:41.135638,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-49
8,DC:A6:32:33:AA:47,2020-07-23 10:55:42.231860,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
9,DC:A6:32:33:AA:47,2020-07-23 10:55:43.331858,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
10,DC:A6:32:33:AA:47,2020-07-23 10:55:44.162774,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-56
11,DC:A6:32:33:AA:47,2020-07-23 10:55:45.263132,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-49
12,DC:A6:32:33:AA:47,2020-07-23 10:55:46.090576,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-47
13,DC:A6:32:33:AA:47,2020-07-23 10:55:48.095665,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
14,DC:A6:32:33:AA:47,2020-07-23 10:55:50.100685,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-56
15,DC:A6:32:33:AA:47,2020-07-23 10:55:51.860602,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
16,DC:A6:32:33:AA:47,2020-07-23 10:55:52.109277,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-49
17,DC:A6:32:33:AA:47,2020-07-23 10:55:53.236840,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-56
18,DC:A6:32:33:AA:47,2020-07-23 10:55:55.245387,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-49
19,DC:A6:32:33:AA:47,2020-07-23 10:55:56.529324,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-47
20,DC:A6:32:33:AA:47,2020-07-23 10:55:57.620523,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-49
21,DC:A6:32:33:AA:47,2020-07-23 10:55:58.716836,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-48
22,DC:A6:32:33:AA:47,2020-07-23 10:55:59.003003,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-49
23,DC:A6:32:33:AA:47,2020-07-23 10:56:00.910566,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-56
24,DC:A6:32:33:AA:47,2020-07-23 10:56:01.014841,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-48
25,DC:A6:32:33:AA:47,2020-07-23 10:56:03.019349,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-56
26,DC:A6:32:33:AA:47,2020-07-23 10:56:05.024276,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-45
27,DC:A6:32:33:AA:47,2020-07-23 10:56:06.648088,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-48
28,DC:A6:32:33:AA:47,2020-07-23 10:56:08.652989,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-48
29,DC:A6:32:33:AA:47,2020-07-23 10:56:10.657958,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-49
30,DC:A6:32:33:AA:47,2020-07-23 10:56:12.666470,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-56
31,DC:A6:32:33:AA:47,2020-07-23 10:56:13.440475,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-48
32,DC:A6:32:33:AA:47,2020-07-23 10:56:14.250455,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
33,DC:A6:32:33:AA:47,2020-07-23 10:56:15.223564,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
34,DC:A6:32:33:AA:47,2020-07-23 10:56:17.227921,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-56
35,DC:A6:32:33:AA:47,2020-07-23 10:56:18.262386,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-49
36,DC:A6:32:33:AA:47,2020-07-23 10:56:19.087983,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-57
37,DC:A6:32:33:AA:47,2020-07-23 10:56:21.093078,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-48
38,DC:A6:32:33:AA:47,2020-07-23 10:56:23.097958,cb3d510c-cd08-11ea-bda5-dca63233aa46,1,1,1,-48
