SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW) ,Total Sum
0,DC:A6:32:33:AA:47,2020-07-07 17:30:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,0.002948321602
1,DC:A6:32:33:AA:47,2020-07-07 17:30:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
2,DC:A6:32:33:AA:47,2020-07-07 17:30:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
3,DC:A6:32:33:AA:47,2020-07-07 17:30:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
4,DC:A6:32:33:AA:47,2020-07-07 17:30:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
5,DC:A6:32:33:AA:47,2020-07-07 17:30:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
6,DC:A6:32:33:AA:47,2020-07-07 17:30:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
7,DC:A6:32:33:AA:47,2020-07-07 17:30:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
8,DC:A6:32:33:AA:47,2020-07-07 17:30:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
9,DC:A6:32:33:AA:47,2020-07-07 17:30:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
10,DC:A6:32:33:AA:47,2020-07-07 17:30:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
11,DC:A6:32:33:AA:47,2020-07-07 17:30:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
12,DC:A6:32:33:AA:47,2020-07-07 17:30:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
13,DC:A6:32:33:AA:47,2020-07-07 17:30:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
14,DC:A6:32:33:AA:47,2020-07-07 17:30:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
15,DC:A6:32:33:AA:47,2020-07-07 17:30:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
16,DC:A6:32:33:AA:47,2020-07-07 17:30:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
17,DC:A6:32:33:AA:47,2020-07-07 17:30:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
18,DC:A6:32:33:AA:47,2020-07-07 17:30:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
19,DC:A6:32:33:AA:47,2020-07-07 17:30:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
20,DC:A6:32:33:AA:47,2020-07-07 17:30:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
21,DC:A6:32:33:AA:47,2020-07-07 17:30:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
22,DC:A6:32:33:AA:47,2020-07-07 17:30:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
23,DC:A6:32:33:AA:47,2020-07-07 17:30:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
24,DC:A6:32:33:AA:47,2020-07-07 17:30:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
25,DC:A6:32:33:AA:47,2020-07-07 17:31:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
26,DC:A6:32:33:AA:47,2020-07-07 17:31:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
27,DC:A6:32:33:AA:47,2020-07-07 17:31:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
28,DC:A6:32:33:AA:47,2020-07-07 17:31:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
29,DC:A6:32:33:AA:47,2020-07-07 17:31:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
30,DC:A6:32:33:AA:47,2020-07-07 17:31:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
31,DC:A6:32:33:AA:47,2020-07-07 17:31:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
32,DC:A6:32:33:AA:47,2020-07-07 17:31:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
33,DC:A6:32:33:AA:47,2020-07-07 17:31:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
34,DC:A6:32:33:AA:47,2020-07-07 17:31:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
35,DC:A6:32:33:AA:47,2020-07-07 17:31:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
36,DC:A6:32:33:AA:47,2020-07-07 17:31:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
37,DC:A6:32:33:AA:47,2020-07-07 17:31:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
38,DC:A6:32:33:AA:47,2020-07-07 17:31:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
39,DC:A6:32:33:AA:47,2020-07-07 17:31:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
40,DC:A6:32:33:AA:47,2020-07-07 17:31:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
41,DC:A6:32:33:AA:47,2020-07-07 17:31:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
42,DC:A6:32:33:AA:47,2020-07-07 17:31:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
43,DC:A6:32:33:AA:47,2020-07-07 17:31:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
44,DC:A6:32:33:AA:47,2020-07-07 17:31:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
45,DC:A6:32:33:AA:47,2020-07-07 17:31:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
46,DC:A6:32:33:AA:47,2020-07-07 17:31:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
47,DC:A6:32:33:AA:47,2020-07-07 17:31:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
48,DC:A6:32:33:AA:47,2020-07-07 17:31:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
49,DC:A6:32:33:AA:47,2020-07-07 17:31:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
50,DC:A6:32:33:AA:47,2020-07-07 17:31:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
51,DC:A6:32:33:AA:47,2020-07-07 17:31:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
52,DC:A6:32:33:AA:47,2020-07-07 17:31:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
53,DC:A6:32:33:AA:47,2020-07-07 17:31:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
54,DC:A6:32:33:AA:47,2020-07-07 17:31:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
55,DC:A6:32:33:AA:47,2020-07-07 17:31:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
56,DC:A6:32:33:AA:47,2020-07-07 17:31:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
57,DC:A6:32:33:AA:47,2020-07-07 17:31:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
58,DC:A6:32:33:AA:47,2020-07-07 17:31:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
59,DC:A6:32:33:AA:47,2020-07-07 17:31:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
60,DC:A6:32:33:AA:47,2020-07-07 17:31:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
61,DC:A6:32:33:AA:47,2020-07-07 17:31:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
62,DC:A6:32:33:AA:47,2020-07-07 17:31:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
63,DC:A6:32:33:AA:47,2020-07-07 17:31:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
64,DC:A6:32:33:AA:47,2020-07-07 17:31:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
65,DC:A6:32:33:AA:47,2020-07-07 17:31:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
66,DC:A6:32:33:AA:47,2020-07-07 17:31:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
67,DC:A6:32:33:AA:47,2020-07-07 17:31:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
68,DC:A6:32:33:AA:47,2020-07-07 17:31:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
69,DC:A6:32:33:AA:47,2020-07-07 17:31:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
70,DC:A6:32:33:AA:47,2020-07-07 17:31:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
71,DC:A6:32:33:AA:47,2020-07-07 17:31:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
72,DC:A6:32:33:AA:47,2020-07-07 17:31:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
73,DC:A6:32:33:AA:47,2020-07-07 17:32:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
74,DC:A6:32:33:AA:47,2020-07-07 17:32:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
75,DC:A6:32:33:AA:47,2020-07-07 17:32:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
76,DC:A6:32:33:AA:47,2020-07-07 17:32:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
