SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
0,DC:A6:32:33:AA:47,2020-07-07 18:24:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,0.002847220991
1,DC:A6:32:33:AA:47,2020-07-07 18:24:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
2,DC:A6:32:33:AA:47,2020-07-07 18:24:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
3,DC:A6:32:33:AA:47,2020-07-07 18:24:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
4,DC:A6:32:33:AA:47,2020-07-07 18:24:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
5,DC:A6:32:33:AA:47,2020-07-07 18:24:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
6,DC:A6:32:33:AA:47,2020-07-07 18:24:33,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
7,DC:A6:32:33:AA:47,2020-07-07 18:24:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
8,DC:A6:32:33:AA:47,2020-07-07 18:24:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
9,DC:A6:32:33:AA:47,2020-07-07 18:24:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
10,DC:A6:32:33:AA:47,2020-07-07 18:24:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
11,DC:A6:32:33:AA:47,2020-07-07 18:24:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
12,DC:A6:32:33:AA:47,2020-07-07 18:24:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
13,DC:A6:32:33:AA:47,2020-07-07 18:24:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
14,DC:A6:32:33:AA:47,2020-07-07 18:24:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-47,0.00001995262315,
15,DC:A6:32:33:AA:47,2020-07-07 18:24:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
16,DC:A6:32:33:AA:47,2020-07-07 18:24:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
