SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:47,2020-07-07 17:03:00.970860,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51
1,DC:A6:32:33:AA:47,2020-07-07 17:03:01.102894,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56
2,DC:A6:32:33:AA:47,2020-07-07 17:03:02.922082,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56
3,DC:A6:32:33:AA:47,2020-07-07 17:03:03.030772,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56
4,DC:A6:32:33:AA:47,2020-07-07 17:03:05.007876,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51
5,DC:A6:32:33:AA:47,2020-07-07 17:03:06.720985,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52
6,DC:A6:32:33:AA:47,2020-07-07 17:03:07.045423,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51
7,DC:A6:32:33:AA:47,2020-07-07 17:03:08.080335,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52
8,DC:A6:32:33:AA:47,2020-07-07 17:03:09.438520,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56
9,DC:A6:32:33:AA:47,2020-07-07 17:03:10.262037,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52
10,DC:A6:32:33:AA:47,2020-07-07 17:03:11.188660,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52
11,DC:A6:32:33:AA:47,2020-07-07 17:03:13.193728,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51
12,DC:A6:32:33:AA:47,2020-07-07 17:03:15.198816,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57
13,DC:A6:32:33:AA:47,2020-07-07 17:03:17.203981,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-53
14,DC:A6:32:33:AA:47,2020-07-07 17:03:18.072697,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51
15,DC:A6:32:33:AA:47,2020-07-07 17:03:19.169605,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50
16,DC:A6:32:33:AA:47,2020-07-07 17:03:20.059637,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55
17,DC:A6:32:33:AA:47,2020-07-07 17:03:22.064165,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56
