SCAN,6ft,5ft,4ft,3ft,2ft,1ft,6ft(log),5ft(log),4ft(log),3ft(log),2ft(log),1ft(log)
0,0.000007416928137,0.000005027116637,0.00004324107678,0.000008716731893,0.0001957729714,0.0003840250727,-51.29775929,-52.98681038,-43.641035,-50.59646312,-37.08247267,-34.1564042
1,0.00001294352832,0.000005788358226,0.00008408374667,0.00001894310314,0.0003061299879,0.0007408216638,-48.87947322,-52.37444599,-40.75287945,-47.22548876,-35.14094126,-31.30286326
2,0.00001687235701,0.00000852290827,0.0001593457851,0.00003525856622,0.0004812869468,0.001073163214,-47.72824244,-50.69412186,-37.9765942,-44.52735352,-33.17595917,-29.69334223
3,0.00002294673122,0.00001192362793,0.0001833582414,0.00003472476526,0.0008323563034,0.001676652254,-46.39279171,-49.23591584,-37.36699565,-44.59360681,-30.79690727,-27.75557003
4,0.00002910123908,0.00001585530953,0.0002223469248,0.00004661579842,0.001089091556,0.002143341564,-45.36088519,-47.99825275,-36.52968873,-43.31466873,-29.62935609,-26.68908614
5,0.00003551308111,0.00002275622384,0.0002789335468,0.00005584332875,0.001216324945,0.002569954766,-44.49611647,-46.42899803,-35.54499251,-42.53028702,-29.14950386,-25.90074521
6,0.00004324525098,0.00002602976578,0.0003058843736,0.00004489173371,0.001391481904,0.00307786873,-43.64061578,-45.8452974,-35.14442709,-43.47833622,-28.56522437,-25.11749907
7,0.00005099844129,0.00002762052743,0.0003574771864,0.00004216495507,0.001592433383,0.003507038023,-42.92443097,-45.58768033,-34.46751669,-43.75048358,-27.97938727,-24.55059526
8,0.00005662831581,0.00003541219596,0.0004140638084,0.00001408662264,0.001847827789,0.003826297579,-42.46966355,-44.50847141,-33.82932728,-48.51193119,-27.33338506,-24.17221257
9,0.00006350180595,0.00004206660819,0.0004401977854,0.00003706062726,0.002138564945,0.004131410647,-41.97213923,-43.76062504,-33.56352147,-44.31087234,-26.69877556,-23.83901636
10,0.00007021891547,0.00004393271324,0.0004692040508,0.0000236417938,0.002409396855,0.00444985929,-41.53545882,-43.57211974,-33.28638247,-46.26319575,-26.18091661,-23.51653722
11,0.0000773889304,0.00004985101637,0.0005583381155,0.00003776749182,0.002650694604,0.004733901477,-41.11321156,-43.02325983,-32.53102724,-44.22881856,-25.76640306,-23.24780785
12,0.00008357660432,0.00005495966854,0.000652713072,0.00003260978391,0.002906089009,0.005085732789,-40.77915278,-42.59955895,-31.8527769,-44.86652079,-25.36691088,-22.93646462
13,0.00008859564946,0.00006040412762,0.0006917017554,0.00005173850225,0.003046361109,0.005405330833,-40.52587604,-42.18933384,-31.60081122,-42.86186148,-25.16218618,-22.6717772
14,0.00009472981202,0.00006396319141,0.0008084781466,0.00002153850536,0.00324213408,0.005728148979,-40.23513324,-41.94069875,-30.92331715,-46.66784437,-24.89169029,-22.41985695
15,0.0001022046477,0.00006872553895,0.0008513893238,0.00005584332875,0.003492349978,0.006252258498,-39.90529354,-41.62881846,-30.698718,-42.53028702,-24.56882241,-22.03963074
16,0.0001078476619,0.00007238113107,0.0008911457322,0.00003381560045,0.003842868069,0.006645464755,-39.67189266,-41.40374635,-30.50051268,-44.70882897,-24.15344525,-21.77474641
17,0.0001112215038,0.00007500881613,0.0009325416061,0.00003520518613,0.004118878488,0.00716889239,-39.53811237,-41.24887689,-30.30331783,-44.53393355,-23.8522102,-21.44547939
18,0.0001186496701,0.00007687012692,0.0009935688331,0.00003579146813,0.004244771029,0.007513506222,-39.25733465,-41.14242402,-30.0280204,-44.46220487,-23.72145731,-21.2415735
19,0.0001244217586,0.00007979263364,0.001034411503,0.00004338914763,0.004445722508,0.008027217665,-39.05103665,-40.980372,-29.85306659,-43.62618881,-23.52057648,-20.95434961
20,0.0001294502143,0.00008702206397,0.001128616707,0.0000236417938,0.004810002766,0.008510676587,-38.87897226,-40.6037062,-29.47453525,-46.26319575,-23.17854674,-20.70035913
21,0.0001348609039,0.00009448199659,0.001177607955,0.000034999026,0.005146975465,0.008685996744,-38.70113934,-40.24650938,-29.28999269,-44.55944042,-22.88447902,-20.61180338
22,0.0001423854153,0.00009483040855,0.001253332098,0.00003852598403,0.005408889227,0.009185921822,-38.46534494,-40.23052378,-29.01933838,-44.1424626,-22.66891913,-20.36877255
23,0.0001506922996,0.0001047060565,0.001297329537,0.00004195879495,0.005677322343,0.009522376442,-38.2190894,-39.80028197,-28.86949694,-43.77176993,-22.45856447,-20.21254654
24,0.0001569924332,0.0001117360513,0.001335017438,0.00003076603569,0.005865714462,0.009837506601,-38.04121279,-39.5180668,-28.74513062,-45.1192846,-22.31679082,-20.07114963
25,0.0001630218558,0.0001173356478,0.001454654754,0.00005147896203,0.00614172488,0.01037844653,-37.87754167,-39.30570025,-28.37240069,-42.88370218,-22.11709642,-19.83867648
26,0.0001698557675,0.0001245476865,0.001515402671,0.00004405432501,0.006424254654,0.0108187387,-37.69919702,-39.04664335,-28.19471952,-43.56011449,-21.92177252,-19.65823368
27,0.0001762649588,0.0001278211437,0.0015431231,0.00005034891658,0.006700265072,0.01124337116,-37.53834016,-38.93397301,-28.11599427,-42.9800987,-21.73908016,-19.49103452
28,0.0001832716029,0.0001344040783,0.00157473093,0.00005221539083,0.006901216551,0.01165351864,-37.36904822,-38.71587553,-28.02793642,-42.82201467,-21.61074345,-19.33542925
29,0.0001888635228,0.0001399518622,0.001617695121,0.00004258896824,0.007088071374,0.01212124995,-37.23851914,-38.54021318,-27.91103324,-43.70702881,-21.49471918,-19.16452593
30,0.0001937745659,0.0001458386176,0.001649376111,0.000032663164,0.007213963915,0.0125708982,-37.12703227,-38.36127461,-27.826803,-44.85941749,-21.41826034,-19.00633691
31,0.0001993859342,0.0001529654768,0.001694659386,0.00005378172749,0.007403847612,0.0129378014,-37.00305483,-38.15406575,-27.70917579,-42.69365252,-21.30542529,-18.8813952
32,0.0002067864099,0.0001605242461,0.001727379787,0.00003054818265,0.007536259509,0.01333071132,-36.84478007,-37.94459361,-27.62612167,-45.15014621,-21.22844155,-18.75146676
33,0.0002137507531,0.0001685101008,0.001801614954,0.00004824562814,0.007777557258,0.01384067923,-36.70092346,-37.73374062,-27.44338022,-43.16542035,-21.09156783,-18.58842596
34,0.0002211099874,0.0001719810792,0.001830636166,0.00002824541718,0.007957892725,0.01445945082,-36.5539164,-37.6451933,-27.37397962,-45.49052006,-20.9920192,-18.39848202
35,0.0002288654428,0.000174499169,0.001867797172,0.00003956955285,0.008192671118,0.0146873762,-36.40419778,-37.58206637,-27.28670286,-44.02638857,-20.86574479,-18.33055781
36,0.0002352922788,0.0001779247998,0.001904413758,0.00003219746366,0.00837952594,0.01520108764,-36.28392324,-37.49763514,-27.2023869,-44.92178338,-20.7678055,-18.18125337
37,0.0002428420625,0.0001870671326,0.001939176357,0.00002078685136,0.00858047742,0.01538009542,-36.14676087,-37.28002511,-27.12382693,-46.82211289,-20.66488547,-18.1304097
38,0.0002483020721,0.0001881746493,0.001970784187,0.0000301358624,0.008773851598,0.0158306824,-36.05019656,-37.25438885,-27.05360931,-45.20916376,-20.56809716,-18.00500364
39,0.0002554086391,0.000193692172,0.002000072933,0.00005399665153,0.008974803078,0.01606714498,-35.92764417,-37.12887931,-26.98954167,-42.67633171,-20.46975072,-17.94061287
40,0.0002621777383,0.0001977412195,0.002078951846,0.00002317609345,0.009100695619,0.0164389873,-35.81404187,-37.03902792,-26.8215557,-46.34959767,-20.40925411,-17.8412494
41,0.0002691501668,0.0002079272275,0.002137845775,0.00004749397414,0.009281031086,0.01675025797,-35.70005347,-36.82088637,-26.70023628,-43.23361489,-20.32403773,-17.759785
42,0.0002780229289,0.0002143667362,0.002184983037,0.00005474637983,0.009483323413,0.01708850026,-35.55919386,-36.68842604,-26.6055193,-42.61644594,-20.23039438,-17.67296051
43,0.0002822332884,0.000219825922,0.00227515035,0.00004661579842,0.009670178236,0.01740950499,-35.49391764,-36.57921097,-26.42989898,-43.31466873,-20.14565521,-17.59213577
44,0.0002878857976,0.0002254472465,0.002364361744,0.000004229633149,0.009802590133,0.01766041796,-35.4077976,-36.46955065,-26.26286076,-53.73697299,-20.08659156,-17.52999022
45,0.0002950520834,0.0002263949318,0.002392829752,0.00004565022592,0.01010724896,0.01808311245,-35.30101314,-36.451333,-26.210882,-43.40557069,-19.95367037,-17.42726817
46,0.0003018423296,0.0002340242327,0.002429446338,0.00005584332875,0.01038325937,0.01831632033,-35.20219856,-36.3073917,-26.14492689,-42.53028702,-19.83666297,-17.3716177
47,0.0003080269539,0.0002357610642,0.002494649805,0.00003457409266,0.01050397341,0.01858902897,-35.11411279,-36.27527917,-26.02990411,-44.61249208,-19.78646386,-17.30743296
48,0.0003135398899,0.0002391494561,0.002536793258,0.00001621632451,0.01083442675,0.01893364281,-35.03707198,-36.21330603,-25.95714925,-47.90047573,-19.65194062,-17.2276582
49,0.0003193702061,0.0002426636801,0.002645909898,0.00002317609345,0.01118549611,0.01939127994,-34.95705601,-36.1499522,-25.77424949,-46.34959767,-19.51344749,-17.12393524
50,0.0003258287175,0.0002482261908,0.002709812584,0.00003344568152,0.01146150653,0.01989815189,-34.87010641,-36.05152397,-25.67060745,-44.7565995,-19.40758294,-17.01187258
51,0.0003308969461,0.0002542032274,0.002773715269,0.0000465293218,0.01164836135,0.02028850572,-34.80307241,-35.9481894,-25.56938123,-43.32273278,-19.33735165,-16.92749938
52,0.0003377704363,0.0002634907141,0.002831308416,0.00003956955285,0.01192437177,0.02074396476,-34.71378365,-35.79234686,-25.4801282,-44.02638857,-19.23564492,-16.83108234
53,0.0003455167568,0.0002672379853,0.002902577008,0.00003949227067,0.01232988405,0.02107536757,-34.61530885,-35.73101811,-25.37216249,-44.03487895,-19.09041007,-16.76224842
54,0.0003537395867,0.0002689015026,0.002951015052,0.00005050655131,0.01254387424,0.02145743763,-34.51316336,-35.70406771,-25.30028575,-42.96652285,-19.01568309,-16.68422141
55,0.0003601187507,0.0002725955932,0.002993711708,0.00003219746366,0.01266976678,0.02196953172,-34.43554265,-35.64481169,-25.23790024,-44.92178338,-18.97231379,-16.581792
56,0.0003668878499,0.0002757938218,0.003055760407,0.0000407753694,0.01302083614,0.02248611987,-34.3546667,-35.59415467,-25.148807,-43.89602096,-18.85361126,-16.48085479
57,0.0003725163666,0.0002814864106,0.003125957684,0.00002568501904,0.01322830697,0.02310868118,-34.28854642,-35.50542567,-25.05016905,-45.90320108,-18.78495736,-16.36224839
58,0.0003781055495,0.0002832567881,0.003193559558,0.00004032120685,0.01340864244,0.0235855579,-34.22386948,-35.47819674,-24.9572498,-43.94466478,-18.7261519,-16.27353846
59,0.0003833540605,0.000288937734,0.003219426001,0.0000521441394,0.01361093477,0.02389067097,-34.16399932,-35.39195737,-24.92221553,-42.82794496,-18.66112047,-16.21771653
60,0.0003908414556,0.0002921960476,0.003262337178,0.00004682195855,0.0138184056,0.0240382947,-34.07999378,-35.34325663,-24.86471155,-43.29550424,-18.59542064,-16.19096345
61,0.0003986274264,0.0003003022151,0.003362622452,0.00006759235782,0.01393911964,0.02439102197,-33.99432824,-35.22441464,-24.73321892,-41.70102404,-18.55764654,-16.12770003
