SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Total Sum
0,DC:A6:32:33:AA:47,2020-07-07 17:03:01,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,0.002931803529
1,DC:A6:32:33:AA:47,2020-07-07 17:03:01,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
2,DC:A6:32:33:AA:47,2020-07-07 17:03:03,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
3,DC:A6:32:33:AA:47,2020-07-07 17:03:03,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
4,DC:A6:32:33:AA:47,2020-07-07 17:03:05,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
5,DC:A6:32:33:AA:47,2020-07-07 17:03:07,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
6,DC:A6:32:33:AA:47,2020-07-07 17:03:07,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
7,DC:A6:32:33:AA:47,2020-07-07 17:03:08,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
8,DC:A6:32:33:AA:47,2020-07-07 17:03:09,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
9,DC:A6:32:33:AA:47,2020-07-07 17:03:10,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
10,DC:A6:32:33:AA:47,2020-07-07 17:03:11,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
11,DC:A6:32:33:AA:47,2020-07-07 17:03:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
12,DC:A6:32:33:AA:47,2020-07-07 17:03:15,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
13,DC:A6:32:33:AA:47,2020-07-07 17:03:17,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-53,0.000005011872336,
14,DC:A6:32:33:AA:47,2020-07-07 17:03:18,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
15,DC:A6:32:33:AA:47,2020-07-07 17:03:19,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
16,DC:A6:32:33:AA:47,2020-07-07 17:03:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-55,0.00000316227766,
17,DC:A6:32:33:AA:47,2020-07-07 17:03:22,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
