SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,POWER ( mW),Sum
0,DC:A6:32:33:AA:47,2020-07-07 17:17:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,0.002778897221
1,DC:A6:32:33:AA:47,2020-07-07 17:17:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
2,DC:A6:32:33:AA:47,2020-07-07 17:17:23,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
3,DC:A6:32:33:AA:47,2020-07-07 17:17:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
4,DC:A6:32:33:AA:47,2020-07-07 17:17:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
5,DC:A6:32:33:AA:47,2020-07-07 17:17:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
6,DC:A6:32:33:AA:47,2020-07-07 17:17:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
7,DC:A6:32:33:AA:47,2020-07-07 17:17:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
8,DC:A6:32:33:AA:47,2020-07-07 17:17:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
9,DC:A6:32:33:AA:47,2020-07-07 17:17:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
10,DC:A6:32:33:AA:47,2020-07-07 17:17:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
11,DC:A6:32:33:AA:47,2020-07-07 17:17:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
12,DC:A6:32:33:AA:47,2020-07-07 17:17:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
13,DC:A6:32:33:AA:47,2020-07-07 17:17:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
14,DC:A6:32:33:AA:47,2020-07-07 17:17:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
15,DC:A6:32:33:AA:47,2020-07-07 17:17:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
16,DC:A6:32:33:AA:47,2020-07-07 17:17:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
17,DC:A6:32:33:AA:47,2020-07-07 17:17:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
18,DC:A6:32:33:AA:47,2020-07-07 17:17:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
19,DC:A6:32:33:AA:47,2020-07-07 17:17:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
20,DC:A6:32:33:AA:47,2020-07-07 17:17:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
21,DC:A6:32:33:AA:47,2020-07-07 17:17:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
22,DC:A6:32:33:AA:47,2020-07-07 17:17:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
23,DC:A6:32:33:AA:47,2020-07-07 17:17:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
24,DC:A6:32:33:AA:47,2020-07-07 17:17:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
25,DC:A6:32:33:AA:47,2020-07-07 17:17:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
26,DC:A6:32:33:AA:47,2020-07-07 17:17:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
27,DC:A6:32:33:AA:47,2020-07-07 17:17:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
28,DC:A6:32:33:AA:47,2020-07-07 17:17:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
29,DC:A6:32:33:AA:47,2020-07-07 17:17:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
30,DC:A6:32:33:AA:47,2020-07-07 17:17:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
31,DC:A6:32:33:AA:47,2020-07-07 17:18:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
32,DC:A6:32:33:AA:47,2020-07-07 17:18:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
33,DC:A6:32:33:AA:47,2020-07-07 17:18:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
34,DC:A6:32:33:AA:47,2020-07-07 17:18:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
35,DC:A6:32:33:AA:47,2020-07-07 17:18:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
