SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW),Total Sum
0,DC:A6:32:33:AA:47,2020-07-07 17:40:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,0.002856422602
1,DC:A6:32:33:AA:47,2020-07-07 17:40:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
2,DC:A6:32:33:AA:47,2020-07-07 17:40:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
3,DC:A6:32:33:AA:47,2020-07-07 17:41:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
4,DC:A6:32:33:AA:47,2020-07-07 17:41:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
5,DC:A6:32:33:AA:47,2020-07-07 17:41:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
6,DC:A6:32:33:AA:47,2020-07-07 17:41:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
7,DC:A6:32:33:AA:47,2020-07-07 17:41:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
8,DC:A6:32:33:AA:47,2020-07-07 17:41:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
9,DC:A6:32:33:AA:47,2020-07-07 17:41:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
10,DC:A6:32:33:AA:47,2020-07-07 17:41:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
11,DC:A6:32:33:AA:47,2020-07-07 17:41:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
12,DC:A6:32:33:AA:47,2020-07-07 17:41:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
13,DC:A6:32:33:AA:47,2020-07-07 17:41:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
14,DC:A6:32:33:AA:47,2020-07-07 17:41:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
15,DC:A6:32:33:AA:47,2020-07-07 17:41:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
16,DC:A6:32:33:AA:47,2020-07-07 17:41:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
17,DC:A6:32:33:AA:47,2020-07-07 17:41:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
18,DC:A6:32:33:AA:47,2020-07-07 17:41:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
19,DC:A6:32:33:AA:47,2020-07-07 17:41:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
20,DC:A6:32:33:AA:47,2020-07-07 17:41:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
21,DC:A6:32:33:AA:47,2020-07-07 17:41:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
22,DC:A6:32:33:AA:47,2020-07-07 17:41:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
23,DC:A6:32:33:AA:47,2020-07-07 17:41:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
24,DC:A6:32:33:AA:47,2020-07-07 17:41:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
25,DC:A6:32:33:AA:47,2020-07-07 17:41:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
26,DC:A6:32:33:AA:47,2020-07-07 17:41:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
