SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
0,DC:A6:32:33:AA:47,2020-07-07 18:01:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,0.002783354602
1,DC:A6:32:33:AA:47,2020-07-07 18:01:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
2,DC:A6:32:33:AA:47,2020-07-07 18:02:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
3,DC:A6:32:33:AA:47,2020-07-07 18:02:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
4,DC:A6:32:33:AA:47,2020-07-07 18:02:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
5,DC:A6:32:33:AA:47,2020-07-07 18:02:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
6,DC:A6:32:33:AA:47,2020-07-07 18:02:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
7,DC:A6:32:33:AA:47,2020-07-07 18:02:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
8,DC:A6:32:33:AA:47,2020-07-07 18:02:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
9,DC:A6:32:33:AA:47,2020-07-07 18:02:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
10,DC:A6:32:33:AA:47,2020-07-07 18:02:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
11,DC:A6:32:33:AA:47,2020-07-07 18:02:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
12,DC:A6:32:33:AA:47,2020-07-07 18:02:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
13,DC:A6:32:33:AA:47,2020-07-07 18:02:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
14,DC:A6:32:33:AA:47,2020-07-07 18:02:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
15,DC:A6:32:33:AA:47,2020-07-07 18:02:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
16,DC:A6:32:33:AA:47,2020-07-07 18:02:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
17,DC:A6:32:33:AA:47,2020-07-07 18:02:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
18,DC:A6:32:33:AA:47,2020-07-07 18:02:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
19,DC:A6:32:33:AA:47,2020-07-07 18:02:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
20,DC:A6:32:33:AA:47,2020-07-07 18:02:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
21,DC:A6:32:33:AA:47,2020-07-07 18:02:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
22,DC:A6:32:33:AA:47,2020-07-07 18:02:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
23,DC:A6:32:33:AA:47,2020-07-07 18:02:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
24,DC:A6:32:33:AA:47,2020-07-07 18:02:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
25,DC:A6:32:33:AA:47,2020-07-07 18:02:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
26,DC:A6:32:33:AA:47,2020-07-07 18:02:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
27,DC:A6:32:33:AA:47,2020-07-07 18:02:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
28,DC:A6:32:33:AA:47,2020-07-07 18:02:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
29,DC:A6:32:33:AA:47,2020-07-07 18:02:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
30,DC:A6:32:33:AA:47,2020-07-07 18:02:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
31,DC:A6:32:33:AA:47,2020-07-07 18:02:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
32,DC:A6:32:33:AA:47,2020-07-07 18:02:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
33,DC:A6:32:33:AA:47,2020-07-07 18:02:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
34,DC:A6:32:33:AA:47,2020-07-07 18:02:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
35,DC:A6:32:33:AA:47,2020-07-07 18:02:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
